ID,Dept,Number,Call,Credits,Taken,Undergrads,Name,,
COMSE0002,COMS,2,81536,0,55,32,Systems-Track,,
MEIEE4810,MECE,4810,97397,3,54,32,Intro to Human Space Flight,,
STATW4107,,,66890,3,64,32,Statistical Inference,,
BMENE3320,BMEN,3320,12289,3,67,32,Fluid Biomechanics,,
COMSW3410,COMS,3410,68546,3,48,32,Computers and Society,,
ENGLC1020,,,89034,3,57,32,University Writing: Internat'L,,
IEORE4307,IEOR,4307,66647,3,82,31,Appl Statistical Models In Or,,
COMSW4252,COMS,4252,27499,3,221,31,Intro-Computational Learn Thry,,
EAEEE4003,EAEE,4003,23171,3,135,31,Intro to Aquatic Chemistry,,
SPANW1102,,,87281,4,57,31,Elementary Spanish II,,
ENGLC1013,,,26251,3,59,31,University Writing: Sust Dev,,
COMSW4180,COMS,4180,66599,3,122,30,Network Security,,
ECONV3265,,,63500,3,77,30,Money and Banking,,
IEORE4630,IEOR,4630,66998,3,237,30,Asset Allocation,,
COMSW4281,COMS,4281,22059,3,120,30,Intro to Quantum Computing,,
CIENE4133,CEEM,4133,20718,3,278,30,Capital Facility Planning/Fin,,
EAEEE4160,EAEE,4160,16248,3,139,30,Solid and Hazardous Waste Mgmt,,
BMENE4590,BMEN,4590,93401,3,71,30,Biomems: Cell/Molecular Applic,,
APPHE3300,APAM,3300,60846,3,60,30,Applied Electromagnetism,,
COMSW3210,COMS,3210,80951,3,102,30,Scientific Computation,,
EAEEE3800,EAEE,3800,18448,2,71,30,Earth and Envir Engin Lab I,,
CHEMW3494,,,11396,1,37,30,Organic Chemistry Laboratory,,
CHEMW3496,,,11447,0,37,30,Organic Chemistry Laboratory,,
ASCEV2365,,,188,4,44,29,Intro East Asian Civ: Tibet,,
MATHV3007,,,11994,3,47,29,Complex Variables,,
COMSE6901,COMS,6901,16201,3,700,28,Projects In Computer Science,,
MUSIV1618,,,70049,1,46,28,Columbia Univ Jazz Ensemble,,
COMSW4735,COMS,4735,89697,3,91,28,Visual Interfaces to Computers,,
MATHV1208,,,10529,4,56,28,Honors Mathematics B,,
ANTHV1130,,,61549,3,31,28,Africa and the Anthropologist,,
APAME1601,APAM,1601,73336,3,34,28,Intro-Computational Math/Phys,,
BMENE4210,BMEN,4210,23985,4,46,28,Thermodynamics of Biol Systems,,
CSEEW4840,COMS,4840,63058,3,302,27,Embedded Systems,,
ELENE4815,ELEN,4815,77102,3,191,27,Random Signals and Noise,,
